average sequence length: 56.86
Traceback (most recent call last):
  File "main.py", line 95, in <module>
    pos_logits, neg_logits = model(u, seq, pos, neg)
  File "/home/hajar.laktaoui/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 102, in forward
    log_feats = self.log2feats(log_seqs) # user_ids hasn't been used yet
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 70, in log2feats
    row_str = ' '.join(map(str, row.cpu().numpy()))
RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.
average sequence length: 56.86
average sequence length: 56.86
average sequence length: 56.86
loss in epoch 7 iteration 39: 0.7783869504928589
loss in epoch 7 iteration 40: 0.7751761674880981
loss in epoch 7 iteration 41: 0.7927713394165039
loss in epoch 7 iteration 42: 0.7990224957466125
loss in epoch 7 iteration 43: 0.7796300649642944
loss in epoch 7 iteration 44: 0.7599072456359863
loss in epoch 7 iteration 45: 0.8025743961334229
loss in epoch 7 iteration 46: 0.7877062559127808
loss in epoch 7 iteration 47: 0.7579777836799622
loss in epoch 7 iteration 48: 0.7673795819282532
loss in epoch 7 iteration 49: 0.7757837772369385
loss in epoch 7 iteration 50: 0.7606323957443237
loss in epoch 7 iteration 51: 0.7615345120429993
loss in epoch 7 iteration 52: 0.7929800152778625
loss in epoch 7 iteration 53: 0.768223226070404
loss in epoch 7 iteration 54: 0.7564727663993835
loss in epoch 7 iteration 55: 0.7513902187347412
loss in epoch 7 iteration 56: 0.757165789604187
loss in epoch 7 iteration 57: 0.7504967451095581
loss in epoch 8 iteration 0: 0.7566300630569458
loss in epoch 8 iteration 1: 0.7614697217941284
loss in epoch 8 iteration 2: 0.824955940246582
loss in epoch 8 iteration 3: 0.7752816677093506
loss in epoch 8 iteration 4: 0.7488061189651489
loss in epoch 8 iteration 5: 0.7633402943611145
loss in epoch 8 iteration 6: 0.7813024520874023
loss in epoch 8 iteration 7: 0.781665027141571
loss in epoch 8 iteration 8: 0.7700468301773071
loss in epoch 8 iteration 9: 0.786514401435852
loss in epoch 8 iteration 10: 0.761994481086731
loss in epoch 8 iteration 11: 0.7732588648796082
loss in epoch 8 iteration 12: 0.7443491220474243
loss in epoch 8 iteration 13: 0.741615891456604
loss in epoch 8 iteration 14: 0.7846519947052002
loss in epoch 8 iteration 15: 0.7519549131393433
loss in epoch 8 iteration 16: 0.744550347328186
loss in epoch 8 iteration 17: 0.7436344027519226
loss in epoch 8 iteration 18: 0.715790867805481
loss in epoch 8 iteration 19: 0.7651581764221191
loss in epoch 8 iteration 20: 0.7220239639282227
loss in epoch 8 iteration 21: 0.7299216985702515
loss in epoch 8 iteration 22: 0.7793023586273193
loss in epoch 8 iteration 23: 0.7318787574768066
loss in epoch 8 iteration 24: 0.7312833070755005
loss in epoch 8 iteration 25: 0.7610024213790894
loss in epoch 8 iteration 26: 0.732049822807312
loss in epoch 8 iteration 27: 0.7476378679275513
loss in epoch 8 iteration 28: 0.7609007358551025
loss in epoch 8 iteration 29: 0.7412091493606567
loss in epoch 8 iteration 30: 0.7418277263641357
loss in epoch 8 iteration 31: 0.7435388565063477
loss in epoch 8 iteration 32: 0.7303850650787354
loss in epoch 8 iteration 33: 0.7312698364257812
loss in epoch 8 iteration 34: 0.7206501960754395
loss in epoch 8 iteration 35: 0.7527121305465698
loss in epoch 8 iteration 36: 0.734224259853363
loss in epoch 8 iteration 37: 0.7211729884147644
loss in epoch 8 iteration 38: 0.715896487236023
loss in epoch 8 iteration 39: 0.7218077182769775
loss in epoch 8 iteration 40: 0.74567711353302
loss in epoch 8 iteration 41: 0.7444918155670166
loss in epoch 8 iteration 42: 0.724664568901062
loss in epoch 8 iteration 43: 0.7143445014953613
loss in epoch 8 iteration 44: 0.7489496469497681
loss in epoch 8 iteration 45: 0.7266774773597717
loss in epoch 8 iteration 46: 0.7169952392578125
loss in epoch 8 iteration 47: 0.7413071393966675
loss in epoch 8 iteration 48: 0.7342691421508789
loss in epoch 8 iteration 49: 0.7283623218536377
loss in epoch 8 iteration 50: 0.7098197340965271
loss in epoch 8 iteration 51: 0.7540544271469116
loss in epoch 8 iteration 52: 0.7705659866333008
loss in epoch 8 iteration 53: 0.7442209720611572
loss in epoch 8 iteration 54: 0.7142497301101685
loss in epoch 8 iteration 55: 0.7177351713180542
loss in epoch 8 iteration 56: 0.7182331085205078
loss in epoch 8 iteration 57: 0.7114211916923523
loss in epoch 9 iteration 0: 0.7100774049758911
loss in epoch 9 iteration 1: 0.7050608992576599
loss in epoch 9 iteration 2: 0.7516211271286011
loss in epoch 9 iteration 3: 0.7060582637786865
loss in epoch 9 iteration 4: 0.705805242061615
loss in epoch 9 iteration 5: 0.7091724872589111
loss in epoch 9 iteration 6: 0.7185971736907959
loss in epoch 9 iteration 7: 0.7385362386703491
loss in epoch 9 iteration 8: 0.7322849035263062
loss in epoch 9 iteration 9: 0.7041481733322144
loss in epoch 9 iteration 10: 0.7211719751358032
loss in epoch 9 iteration 11: 0.6982958316802979
loss in epoch 9 iteration 12: 0.7112376689910889
loss in epoch 9 iteration 13: 0.7256551384925842
loss in epoch 9 iteration 14: 0.6780191659927368
loss in epoch 9 iteration 15: 0.6935701370239258
loss in epoch 9 iteration 16: 0.7108750343322754
loss in epoch 9 iteration 17: 0.7111126184463501
loss in epoch 9 iteration 18: 0.6702969670295715
loss in epoch 9 iteration 19: 0.7243527173995972
loss in epoch 9 iteration 20: 0.6849466562271118
loss in epoch 9 iteration 21: 0.696346640586853
loss in epoch 9 iteration 22: 0.6970388889312744
loss in epoch 9 iteration 23: 0.7181202173233032
